Group,length,Macrel,Macrel_probability,Out1,Out1 Prob,Out9,Out9 Prob,Vote2,Vote2 Prob,charge_pH7,charge_density,muH,KD_raw,KD_norm01,HelixProp,HRC_pct,SAI,Aromatic_frac,PG_frac,WWIHP_mean,Boman,Instability,pI,Hmoment,AIPx,Zsum,z_muH,z_charge_density,z_GRAVY,z_HelixProp,z_HRC,z_SAI,verdict,Macrel_AMP,AIPx_tier
P_P30K,16,AMP,0.644,AMP,0.65,AMP,0.542,1:AMP,0.539,0.998,0.0624,0.577,1.325,0.647,1.064,68.75,0.662,0.062,0.125,-0.393,-1.219,36.481,9.7,0.577,0.776,1.244,0.51,-0.88,4.9,0.07,1.58,3.08,Unlikely,TRUE,Strong
P_P30K,9,AMP,0.604,AMP,0.616,AMP,0.763,1:AMP,0.758,1.998,0.222,0.786,0.722,0.58,1.074,55.56,0.241,0,0.111,-0.154,0.496,47.644,11.652,0.786,0.759,1.145,1.91,0.72,2.49,0.12,0.7,0.27,Unlikely,TRUE,Strong
P_P30K,15,AMP,0.743,AMP,0.708,AMP,0.642,1:AMP,0.615,1.089,0.0726,0.591,1.293,0.644,1.024,73.33,0.431,0.2,0.2,-0.489,-1.137,54.033,10.552,0.591,0.756,1.131,0.61,-0.77,4.77,-0.13,1.89,1.54,AMP-like,TRUE,Strong
P_P30K,17,AMP,0.812,AMP,0.751,NonAMP,0.528,1:AMP,0.532,1.936,0.1139,0.527,1.3,0.644,1.106,64.71,0.433,0.059,0,-0.277,-0.221,30.265,9.833,0.527,0.748,1.087,0.18,-0.36,4.8,0.28,1.31,1.55,AMP-like,TRUE,Strong
P_P30K,18,AMP,0.644,NonAMP,0.616,NonAMP,0.777,NonAMP,0.738,0.998,0.0555,0.582,1.05,0.617,1.132,66.67,0.525,0.056,0.056,-0.271,-0.167,-6.2,9.695,0.582,0.733,1.012,0.55,-0.95,3.8,0.41,1.44,2.17,Unlikely,TRUE,Strong
P_P30K,15,AMP,0.594,AMP,0.534,NonAMP,0.503,1:AMP,0.5,1.089,0.0726,0.516,1.407,0.656,1.069,60,0.469,0.067,0,-0.315,-0.791,30.667,9.702,0.516,0.731,0.999,0.11,-0.77,5.23,0.09,1,1.79,AMP-like,TRUE,Strong
P_P30K,18,AMP,0.634,NonAMP,0.565,NonAMP,0.589,NonAMP,0.539,0.998,0.0555,0.556,1.15,0.628,1.003,61.11,0.575,0.111,0.111,-0.223,-0.103,-8.339,9.695,0.556,0.713,0.91,0.37,-0.95,4.2,-0.24,1.07,2.5,AMP-like,TRUE,Strong
P_P30K,8,AMP,0.683,AMP,0.513,NonAMP,0.604,NonAMP,0.54,0.998,0.1247,0.573,0.95,0.606,0.96,62.5,0.475,0,0.125,-0.326,-0.615,-23.087,9.7,0.573,0.705,0.872,0.49,-0.25,3.4,-0.45,1.17,1.83,Unlikely,TRUE,Strong
P_P30K,8,AMP,0.634,AMP,0.567,NonAMP,0.627,NonAMP,0.579,1.998,0.2497,0.453,0.775,0.586,1.154,62.5,0.258,0,0,-0.191,0.675,8.75,11.652,0.453,0.694,0.818,-0.31,1,2.7,0.52,1.17,0.39,AMP-like,TRUE,Strong
P_P30K,19,AMP,0.782,AMP,0.649,AMP,0.607,1:AMP,0.624,0.999,0.0526,0.597,1.047,0.616,1.013,52.63,0.524,0.105,0.158,-0.188,-0.138,-3.432,9.695,0.597,0.69,0.8,0.65,-0.97,3.79,-0.19,0.51,2.16,AMP-like,TRUE,Strong
P_P30K,18,AMP,0.762,AMP,0.573,NonAMP,0.508,1:AMP,0.541,1.027,0.0571,0.773,0.861,0.596,0.947,50,0.287,0.056,0.167,-0.186,0.104,8.7,8.553,0.773,0.681,0.757,1.82,-0.93,3.04,-0.52,0.33,0.58,AMP-like,TRUE,Strong
P_P30K,16,AMP,0.594,NonAMP,0.541,AMP,0.691,1:AMP,0.657,1.09,0.0681,0.784,0.675,0.575,1.02,50,0.225,0.125,0.062,-0.217,0.618,25.344,9.697,0.784,0.668,0.699,1.89,-0.82,2.3,-0.15,0.33,0.17,AMP-like,TRUE,Strong
P_P30K,16,AMP,0.812,AMP,0.812,AMP,0.865,1:AMP,0.835,3.088,0.193,0.74,0.356,0.54,1.089,56.25,0.071,0,0.062,-0.063,0.626,16.7,11.823,0.74,0.667,0.696,1.6,0.43,1.02,0.19,0.75,-0.86,AMP-like,TRUE,Strong
